Training/Workshop,links
"AMOS NCI Training June, 2019",https://opus.nci.org.au/display/Help/2019+Climate+and+Ocean+Community+Training+at+AMOS
NCI Training 2018 in Melbourne for ARCCSS/CLEX,https://opus.nci.org.au/display/Help/2018+CLEX+Training
"GA data training Feb, 2018",https://github.com/nci/Data-Training/tree/master/GA_23-Feb-2018
NCI Autumn training 2017,https://github.com/nci/Data-Training/tree/master/NCI_Autumn_Training
"Data Intensive Training Workshop, Nov, 2016",https://github.com/nci/Data-Training/tree/master/Data-Intensive-Workshop-Nov-2016
